product_id,description,top_k_predictions,ground_truth
0,"BW RG2PV75H6X 75 GAL LP GAS POWER VENTED WATER HEATER STANDARD W/SIDE CONNECTIONS FOR SPACE HTG 76KBTU 6YR 70""""H X 26""""DIA","[{'rank': 1, 'commodity_code': 40102102, 'commodity_name': 'Gas fueled fireplace B vent', 'score': 0.5516051650047302, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Heating and ventilation and air circulation', 'class': 'Fireplaces and accessories', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 40101819, 'commodity_name': 'Space heaters', 'score': 0.3815351724624634, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Heating and ventilation and air circulation', 'class': 'Heating equipment and parts and accessories', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 12141747, 'commodity_name': 'Tungsten W', 'score': 0.3202304244041443, 'segment': 'Chemicals including Bio Chemicals and Gas Materials', 'family': 'Elements and gases', 'class': 'Transition metals', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 40141766, 'commodity_name': 'Snap tap with saddle for water works', 'score': 0.2950286269187927, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Fluid and gas distribution', 'class': 'Hardware and fittings', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 26111609, 'commodity_name': 'Gas turbine generator', 'score': 0.28379204869270325, 'segment': 'Power Generation and Distribution Machinery and Accessories', 'family': 'Batteries and generators and kinetic power transmission', 'class': 'Power generators', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 26131804, 'commodity_name': 'Gas turbine control panels', 'score': 0.28062203526496887, 'segment': 'Power Generation and Distribution Machinery and Accessories', 'family': 'Power generation', 'class': 'Power generation control equipment', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 26111604, 'commodity_name': 'Gas generators', 'score': 0.23997598886489868, 'segment': 'Power Generation and Distribution Machinery and Accessories', 'family': 'Batteries and generators and kinetic power transmission', 'class': 'Power generators', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 12141902, 'commodity_name': 'Hydrogen H', 'score': 0.21365615725517273, 'segment': 'Chemicals including Bio Chemicals and Gas Materials', 'family': 'Elements and gases', 'class': 'Non metals and pure and elemental gases', 'in_hierarchy': False}, {'rank': 9, 'commodity_code': 26101503, 'commodity_name': 'Gas engines', 'score': 0.20429779589176178, 'segment': 'Power Generation and Distribution Machinery and Accessories', 'family': 'Power sources', 'class': 'Engines', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 40141727, 'commodity_name': 'Plumbing vents', 'score': 0.18031436204910278, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Fluid and gas distribution', 'class': 'Hardware and fittings', 'in_hierarchy': True}]",Domestic water heaters
1,VERSIPRO BISC ELG CFWC WOOD SEAT SI SW-985 ORANGE CITRUS CRAZY CLEAN 19OZ SPRAYWAY,"[{'rank': 1, 'commodity_code': 50202423, 'commodity_name': 'Orange concentrate', 'score': 0.8321378827095032, 'segment': 'Food Beverage and Tobacco Products', 'family': 'Beverages', 'class': 'Fresh citrus juice or concentrate', 'in_hierarchy': False}, {'rank': 2, 'commodity_code': 50202409, 'commodity_name': 'Orange juice', 'score': 0.7845579385757446, 'segment': 'Food Beverage and Tobacco Products', 'family': 'Beverages', 'class': 'Fresh citrus juice or concentrate', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 50335023, 'commodity_name': 'Dried organic limequat oranges', 'score': 0.7200733423233032, 'segment': 'Food Beverage and Tobacco Products', 'family': 'Dried organic fruit', 'class': 'Dried organic oranges', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 50325023, 'commodity_name': 'Dried limequat oranges', 'score': 0.7179554104804993, 'segment': 'Food Beverage and Tobacco Products', 'family': 'Dried fruit', 'class': 'Dried oranges', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 50325024, 'commodity_name': 'Dried marr oranges', 'score': 0.6727108955383301, 'segment': 'Food Beverage and Tobacco Products', 'family': 'Dried fruit', 'class': 'Dried oranges', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 50335024, 'commodity_name': 'Dried organic marr oranges', 'score': 0.6565520763397217, 'segment': 'Food Beverage and Tobacco Products', 'family': 'Dried organic fruit', 'class': 'Dried organic oranges', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 50305023, 'commodity_name': 'Limequat oranges', 'score': 0.58772212266922, 'segment': 'Food Beverage and Tobacco Products', 'family': 'Fresh fruits', 'class': 'Oranges', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 50335011, 'commodity_name': 'Dried organic california navel oranges', 'score': 0.5846192836761475, 'segment': 'Food Beverage and Tobacco Products', 'family': 'Dried organic fruit', 'class': 'Dried organic oranges', 'in_hierarchy': False}, {'rank': 9, 'commodity_code': 50325002, 'commodity_name': 'Dried ambersweet oranges', 'score': 0.5835347175598145, 'segment': 'Food Beverage and Tobacco Products', 'family': 'Dried fruit', 'class': 'Dried oranges', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 50335007, 'commodity_name': 'Dried organic bigaradier apepu oranges', 'score': 0.5468013286590576, 'segment': 'Food Beverage and Tobacco Products', 'family': 'Dried organic fruit', 'class': 'Dried organic oranges', 'in_hierarchy': False}]",Toilet seat
2,2 3000# Forged Steel Threaded Half Coupling FPT x FPT,"[{'rank': 1, 'commodity_code': 40173003, 'commodity_name': 'Forged steel pipe half coupling', 'score': 1.0, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe half couplings', 'in_hierarchy': False}, {'rank': 2, 'commodity_code': 31163012, 'commodity_name': 'Coupling half', 'score': 0.8684595227241516, 'segment': 'Manufacturing Components and Supplies', 'family': 'Hardware', 'class': 'Couplings', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 31163026, 'commodity_name': 'Half lap coupling', 'score': 0.8266470432281494, 'segment': 'Manufacturing Components and Supplies', 'family': 'Hardware', 'class': 'Couplings', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 40174705, 'commodity_name': 'Forged steel pipe threaded flange', 'score': 0.707632303237915, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe threaded flanges', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 40173005, 'commodity_name': 'Stainless steel pipe half coupling', 'score': 0.6512561440467834, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe half couplings', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 40173002, 'commodity_name': 'Carbon steel pipe half coupling', 'score': 0.6281733512878418, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe half couplings', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 40172605, 'commodity_name': 'Forged steel pipe coupling', 'score': 0.6033384799957275, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe couplings', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 40173004, 'commodity_name': 'Malleable iron pipe half coupling', 'score': 0.5938305854797363, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe half couplings', 'in_hierarchy': False}, {'rank': 9, 'commodity_code': 40173605, 'commodity_name': 'Forged steel pipe reducing coupling', 'score': 0.5587882995605469, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe reducing couplings', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 40173007, 'commodity_name': 'CPVC plastic pipe half coupling', 'score': 0.5516624450683594, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe half couplings', 'in_hierarchy': False}]",Forged steel pipe half coupling
3,FUJ ASUH15KPAS 15000 BTU Standard-T,"[{'rank': 1, 'commodity_code': 25172128, 'commodity_name': 'Seat belt tension sensor BTS', 'score': 0.546019971370697, 'segment': 'Commercial and Military and Private Vehicles and their Accessories and Components', 'family': 'Transportation components and systems', 'class': 'Vehicle safety and security systems and components', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 31161733, 'commodity_name': 'T nut or T slot nut', 'score': 0.3068252205848694, 'segment': 'Manufacturing Components and Supplies', 'family': 'Hardware', 'class': 'Nuts', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 31391505, 'commodity_name': 'Aluminum standard precision machining', 'score': 0.28669044375419617, 'segment': 'Manufacturing Components and Supplies', 'family': 'Machinings', 'class': 'Standard precision machinings', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 31391502, 'commodity_name': 'Ceramic standard precision machining', 'score': 0.2854659855365753, 'segment': 'Manufacturing Components and Supplies', 'family': 'Machinings', 'class': 'Standard precision machinings', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 31391501, 'commodity_name': 'Plastic standard precision machining', 'score': 0.2843450605869293, 'segment': 'Manufacturing Components and Supplies', 'family': 'Machinings', 'class': 'Standard precision machinings', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 31391503, 'commodity_name': 'Steel standard precision machining', 'score': 0.2842439115047455, 'segment': 'Manufacturing Components and Supplies', 'family': 'Machinings', 'class': 'Standard precision machinings', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 31391504, 'commodity_name': 'Stainless steel standard precision machining', 'score': 0.26743096113204956, 'segment': 'Manufacturing Components and Supplies', 'family': 'Machinings', 'class': 'Standard precision machinings', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 43233507, 'commodity_name': 'Mobile operator specific standard software', 'score': 0.2622029781341553, 'segment': 'Information Technology Broadcasting and Telecommunications', 'family': 'Software', 'class': 'Information exchange software', 'in_hierarchy': False}, {'rank': 9, 'commodity_code': 31161638, 'commodity_name': 'T bolt', 'score': 0.25567200779914856, 'segment': 'Manufacturing Components and Supplies', 'family': 'Hardware', 'class': 'Bolts', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 50402714, 'commodity_name': 'Standard bearer celery', 'score': 0.24599863588809967, 'segment': 'Food Beverage and Tobacco Products', 'family': 'Fresh vegetables', 'class': 'Celery', 'in_hierarchy': False}]",Air conditioners
4,ALLIED 27W16 COMP ZP24K5E-PFV-830 2T R410A 230V-1,"[{'rank': 1, 'commodity_code': 51342707, 'commodity_name': 'Interferon alfacon-1', 'score': 0.7012898325920105, 'segment': 'Drugs and Pharmaceutical Products', 'family': 'Antiviral drugs', 'class': 'Antiviral peptides', 'in_hierarchy': False}, {'rank': 2, 'commodity_code': 25191709, 'commodity_name': 'Power adjuster', 'score': 0.358412504196167, 'segment': 'Commercial and Military and Private Vehicles and their Accessories and Components', 'family': 'Transportation services equipment', 'class': 'Vehicle servicing equipment', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 32101536, 'commodity_name': 'Phase unbalance and power factor compensator', 'score': 0.15495942533016205, 'segment': 'Electronic Components and Supplies', 'family': 'Printed circuits and integrated circuits and microassemblies', 'class': 'Circuit assemblies and radio frequency RF components', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 39121626, 'commodity_name': 'Medium voltage fuse', 'score': 0.09491520375013351, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Electrical equipment and components and supplies', 'class': 'Circuit protection devices and accessories', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 39121035, 'commodity_name': 'Motor starting compensator', 'score': 0.08592510968446732, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Electrical equipment and components and supplies', 'class': 'Power conditioning equipment', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 39121625, 'commodity_name': 'High speed fuse', 'score': 0.07322744280099869, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Electrical equipment and components and supplies', 'class': 'Circuit protection devices and accessories', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 32121708, 'commodity_name': 'Bridge rectifier', 'score': 0.06749540567398071, 'segment': 'Electronic Components and Supplies', 'family': 'Passive discrete components', 'class': 'Discrete components', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 39122322, 'commodity_name': 'Direct current voltage relay', 'score': 0.049691423773765564, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Electrical equipment and components and supplies', 'class': 'Electrical relays and accessories', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 39122323, 'commodity_name': 'Multi function digital relay', 'score': 0.04954906553030014, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Electrical equipment and components and supplies', 'class': 'Electrical relays and accessories', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 39121045, 'commodity_name': 'Modulation transformer', 'score': 0.04122732952237129, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Electrical equipment and components and supplies', 'class': 'Power conditioning equipment', 'in_hierarchy': True}]",Refrigerant compressors
5,WHILE SUPPLIES LAST: MODINE HSB193SB01SA 115V HOT WATER/STEAM HTR TOP/BOTTOM OUTLET 1-PHASE,"[{'rank': 1, 'commodity_code': 31291420, 'commodity_name': 'Non metallic machined hot extrusions', 'score': 0.6284307241439819, 'segment': 'Manufacturing Components and Supplies', 'family': 'Machined extrusions', 'class': 'Machined hot extrusions', 'in_hierarchy': False}, {'rank': 2, 'commodity_code': 31291416, 'commodity_name': 'Titanium machined hot extrusions', 'score': 0.5733257532119751, 'segment': 'Manufacturing Components and Supplies', 'family': 'Machined extrusions', 'class': 'Machined hot extrusions', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 31291401, 'commodity_name': 'Aluminum machined hot extrusions', 'score': 0.5484475493431091, 'segment': 'Manufacturing Components and Supplies', 'family': 'Machined extrusions', 'class': 'Machined hot extrusions', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 31291407, 'commodity_name': 'Lead machined hot extrusions', 'score': 0.5218750834465027, 'segment': 'Manufacturing Components and Supplies', 'family': 'Machined extrusions', 'class': 'Machined hot extrusions', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 31291417, 'commodity_name': 'Zinc machined hot extrusions', 'score': 0.49842116236686707, 'segment': 'Manufacturing Components and Supplies', 'family': 'Machined extrusions', 'class': 'Machined hot extrusions', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 31291405, 'commodity_name': 'Copper machined hot extrusions', 'score': 0.49375155568122864, 'segment': 'Manufacturing Components and Supplies', 'family': 'Machined extrusions', 'class': 'Machined hot extrusions', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 31291402, 'commodity_name': 'Beryllium machined hot extrusions', 'score': 0.4917096495628357, 'segment': 'Manufacturing Components and Supplies', 'family': 'Machined extrusions', 'class': 'Machined hot extrusions', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 31291415, 'commodity_name': 'Tin machined hot extrusions', 'score': 0.4806150197982788, 'segment': 'Manufacturing Components and Supplies', 'family': 'Machined extrusions', 'class': 'Machined hot extrusions', 'in_hierarchy': False}, {'rank': 9, 'commodity_code': 31291418, 'commodity_name': 'Composite machined hot extrusions', 'score': 0.4586922824382782, 'segment': 'Manufacturing Components and Supplies', 'family': 'Machined extrusions', 'class': 'Machined hot extrusions', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 31291411, 'commodity_name': 'Precious metal machined hot extrusions', 'score': 0.44643115997314453, 'segment': 'Manufacturing Components and Supplies', 'family': 'Machined extrusions', 'class': 'Machined hot extrusions', 'in_hierarchy': False}]",Space heaters
6,"WHILE SUPPLIES LAST: KOHLER K-14561-S STRAIGHT TYPE 18"""" POLISHED STAINLESS STEEL ADA","[{'rank': 1, 'commodity_code': 31132608, 'commodity_name': 'Warm forged heat treated and cold sized stainless steel forging', 'score': 1.1906530857086182, 'segment': 'Manufacturing Components and Supplies', 'family': 'Forgings', 'class': 'Stainless steel forgings', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 31132612, 'commodity_name': 'Hot forged heat treated and cold sized stainless steel forging', 'score': 1.1442313194274902, 'segment': 'Manufacturing Components and Supplies', 'family': 'Forgings', 'class': 'Stainless steel forgings', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 31132604, 'commodity_name': 'Cold forged heat treated and cold sized stainless steel forging', 'score': 1.1340281963348389, 'segment': 'Manufacturing Components and Supplies', 'family': 'Forgings', 'class': 'Stainless steel forgings', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 31132605, 'commodity_name': 'Warm forged machined stainless steel forging', 'score': 1.0930068492889404, 'segment': 'Manufacturing Components and Supplies', 'family': 'Forgings', 'class': 'Stainless steel forgings', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 31132607, 'commodity_name': 'Warm forged machined and heat treated stainless steel forging', 'score': 1.0810165405273438, 'segment': 'Manufacturing Components and Supplies', 'family': 'Forgings', 'class': 'Stainless steel forgings', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 31132601, 'commodity_name': 'Cold forged machined stainless steel forging', 'score': 1.0565409660339355, 'segment': 'Manufacturing Components and Supplies', 'family': 'Forgings', 'class': 'Stainless steel forgings', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 31132603, 'commodity_name': 'Cold forged machined and heat treated stainless steel forging', 'score': 1.0473395586013794, 'segment': 'Manufacturing Components and Supplies', 'family': 'Forgings', 'class': 'Stainless steel forgings', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 31132609, 'commodity_name': 'Hot forged machined stainless steel forging', 'score': 1.0413906574249268, 'segment': 'Manufacturing Components and Supplies', 'family': 'Forgings', 'class': 'Stainless steel forgings', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 31132611, 'commodity_name': 'Hot forged machined and heat treated stainless steel forging', 'score': 1.0348870754241943, 'segment': 'Manufacturing Components and Supplies', 'family': 'Forgings', 'class': 'Stainless steel forgings', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 31132606, 'commodity_name': 'Warm forged heat treated stainless steel forging', 'score': 1.0332649946212769, 'segment': 'Manufacturing Components and Supplies', 'family': 'Forgings', 'class': 'Stainless steel forgings', 'in_hierarchy': True}]",Towel bar or ring or stand or hook
7,"FUJ ARUH24LUAS 24,000 BTU MID STATIC DUCTED INDOOR UNIT","[{'rank': 1, 'commodity_code': 41103512, 'commodity_name': 'Static eliminators', 'score': 0.6363095045089722, 'segment': 'Laboratory and Measuring and Observing and Testing Equipment', 'family': 'Laboratory and scientific equipment', 'class': 'Laboratory enclosures and accessories', 'in_hierarchy': False}, {'rank': 2, 'commodity_code': 32121704, 'commodity_name': 'Static converters', 'score': 0.6098277568817139, 'segment': 'Electronic Components and Supplies', 'family': 'Passive discrete components', 'class': 'Discrete components', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 46182104, 'commodity_name': 'Anti static floor mats', 'score': 0.5980018973350525, 'segment': 'Defense and Law Enforcement and Security and Safety Equipment and Supplies', 'family': 'Personal safety and protection', 'class': 'Anti static equipment and supplies', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 46182105, 'commodity_name': 'Anti static worktable mats', 'score': 0.45468470454216003, 'segment': 'Defense and Law Enforcement and Security and Safety Equipment and Supplies', 'family': 'Personal safety and protection', 'class': 'Anti static equipment and supplies', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 40141902, 'commodity_name': 'Rigid ducts', 'score': 0.3653111755847931, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Fluid and gas distribution', 'class': 'Ducts', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 39121023, 'commodity_name': 'Static var compensators', 'score': 0.34129104018211365, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Electrical equipment and components and supplies', 'class': 'Power conditioning equipment', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 42141814, 'commodity_name': 'Static electricity stimulator', 'score': 0.3342628479003906, 'segment': 'Medical Equipment and Accessories and Supplies', 'family': 'Patient care and treatment products and supplies', 'class': 'Electrotherapy equipment', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 40141901, 'commodity_name': 'Flexible ducts', 'score': 0.24722474813461304, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Fluid and gas distribution', 'class': 'Ducts', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 46182103, 'commodity_name': 'Grounding hardware', 'score': 0.24601595103740692, 'segment': 'Defense and Law Enforcement and Security and Safety Equipment and Supplies', 'family': 'Personal safety and protection', 'class': 'Anti static equipment and supplies', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 40141918, 'commodity_name': 'Non ferrous alloy ducts or ductwork', 'score': 0.11777849495410919, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Fluid and gas distribution', 'class': 'Ducts', 'in_hierarchy': True}]",Air handling unit
8,"NEWPORT BRASS 277/03 4"""" ROUND SHOWER DRAIN THROAT","[{'rank': 1, 'commodity_code': 30261503, 'commodity_name': 'Hot rolled c464 brass bar', 'score': 0.7373785972595215, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Brass bars', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 30261504, 'commodity_name': 'Hot forged c464 brass bar', 'score': 0.7136357426643372, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Brass bars', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 30261505, 'commodity_name': 'Cold drawn c464 brass bar', 'score': 0.7113144397735596, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Brass bars', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 47121807, 'commodity_name': 'Drain or toilet plunger', 'score': 0.7051809430122375, 'segment': 'Cleaning Equipment and Supplies', 'family': 'Janitorial equipment', 'class': 'Cleaning equipment', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 30261602, 'commodity_name': 'Hot rolled c464 brass sheet', 'score': 0.6961110830307007, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Brass sheets', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 30261603, 'commodity_name': 'Cold rolled c464 brass sheet', 'score': 0.6887322068214417, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Brass sheets', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 30181801, 'commodity_name': 'Shower head', 'score': 0.5780855417251587, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Plumbing fixtures', 'class': 'Faucet and shower heads, jets and parts and accessories', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 30181803, 'commodity_name': 'Hand held shower unit', 'score': 0.544243574142456, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Plumbing fixtures', 'class': 'Faucet and shower heads, jets and parts and accessories', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 30181809, 'commodity_name': 'Hand shower repair kit', 'score': 0.5209488868713379, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Plumbing fixtures', 'class': 'Faucet and shower heads, jets and parts and accessories', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 47131815, 'commodity_name': 'Drain cleaner', 'score': 0.4930507242679596, 'segment': 'Cleaning Equipment and Supplies', 'family': 'Cleaning and janitorial supplies', 'class': 'Cleaning and disinfecting solutions', 'in_hierarchy': True}]",Drain
9,1-1/2 x 1-1/4 Schedule 80 PVC Bushing SPG x SOC,"[{'rank': 1, 'commodity_code': 40172308, 'commodity_name': 'PVC plastic pipe bushing', 'score': 1.1199424266815186, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe bushings', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 31201532, 'commodity_name': 'Polyvinyl chloride PVC tape', 'score': 0.9257078766822815, 'segment': 'Manufacturing Components and Supplies', 'family': 'Adhesives and sealants', 'class': 'Tape', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 13102030, 'commodity_name': 'Polyvinyl Chloride PVC', 'score': 0.8690309524536133, 'segment': 'Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials', 'family': 'Rubber and elastomers', 'class': 'Thermoplastic plastics', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 40172309, 'commodity_name': 'CPVC plastic pipe bushing', 'score': 0.4321824610233307, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe bushings', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 40172311, 'commodity_name': 'HDPE plastic pipe bushing', 'score': 0.4170295298099518, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe bushings', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 40172313, 'commodity_name': 'Rubber pipe bushing', 'score': 0.4047113060951233, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe bushings', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 40172307, 'commodity_name': 'Stainless steel pipe bushing', 'score': 0.40107211470603943, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe bushings', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 40172310, 'commodity_name': 'ABS plastic pipe bushing', 'score': 0.3996921479701996, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe bushings', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 40172005, 'commodity_name': 'PVC plastic pipe baffle', 'score': 0.3978067636489868, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe baffles', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 40172315, 'commodity_name': 'Bronze pipe bushing', 'score': 0.3896124064922333, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe bushings', 'in_hierarchy': True}]",PVC plastic pipe bushing
