Search Query,UNSPSC Commodity Name
PVC INSERT,PVC plastic pipe adapter
Snap-In Bend Support,Plumbing hangers
BACKSTOP WELL TANK,Water storage tanks
RADFIT 3/4 BEND SUPPORT,Plumbing hangers
SMOKE TEE,Carbon steel pipe tee
Prop,Brass pipe connector
4x2 black coupling,Malleable iron pipe coupling
"CAM MASS-3T 3/4""",Brass pipe coupling
3 x 3 x 2 PVC DWV Reducing Sanitary Tee H x H x H,PVC plastic pipe tee
PVC40 1-1/2 X 1 BUSH MXF,PVC plastic pipe bushing
"CURB PLUNGER 4"" DISC",Drain covers
PEX X PEX COPPER COUPLING,Copper pipe coupling
1 inch Viega PexPress coupling,Brass pipe coupling
HEX WASHER ZIP-IN SCREW 100/PK,Set screws
VINYL TUBING,Water hoses
DRILL POINT SCREWS,Set screws
BRASS GAS STOP VALVE,Ball valves
"TRAC 1-1/4"" AUTOFLARE",Brass pipe connector
INSERT 90,PVC plastic pipe elbow
GAS BALL VLV FULL PORT,Ball valves
Copper DWV 1-1/4 Trap Adapter C x SJ,Copper pipe coupling
"5"" OVAL SMOKE PIPE",Chimney
1-1/2 PVC DWV Trap Adapter,PVC plastic pipe adapter
"FLARE X 3/8"" FLARE 36"" LONG FLEXIBLE OIL LINE",Water hoses
FOOT VINYL TUBING CLEAR CUT,Water hoses
304/304L Stainless Steel Hex Bushing,Stainless steel pipe bushing
50' QUICK CONNECT LINE SET,Air conditioners
pressure tank 20 gallon,Water storage tanks
VALVE 1/2 GAS BALL,Ball valves
1-1/4 x 1 ssfit bush 304,Stainless steel pipe bushing
PVC TRAP ADPT 1 1/4,PVC plastic pipe adapter
6 oval to rd 90,Galvanized iron pipe elbow
3/8 Prop,Brass pipe connector
LINE SET FOR MINI-SPLITS,Air conditioners
QUICK LINE SET,Air conditioners
MAL 8 X 2 HEX HEAD ZIP SCREWS 250 PER TUB HW8X2ZT,Set screws
4 to 6 fernco,Rubber pipe reducing coupling
Viega 1 PureFlow PexPress Polymer Coupling PexPress x PexPress,PVC plastic pipe coupling
WEIL CGA-4-PIDN NAT GAS HOT WATER BOILER INPUT NET CAST IRON,Space heaters
SCREWS 8 X 1-1/2,Set screws
WEIL CGA-4-PIDN NAT GAS HOT WATER BOILER 105KBTU INPUT NET CAST IRON,Space heaters
ROLL 100' VINYL TUBING CLEAR,Water hoses
"1-1/2"" BRASS GAS STOP VALVE LEVER HANDLE",Ball valves
3 x 3 x 2 PVC DWV Reducing Sanitary Tee,PVC plastic pipe tee
LINESET FOR MINI-SPLITS WHT RYNO,Air conditioners
VIEGA PEX PRESS COUPLING 1,Brass pipe coupling
304/304L Stainless Steel Hex Bushing MPT x FPT,Stainless steel pipe bushing
BLANK COIL PLATE FR/AP,Cooling coil
PVC 1/2 INSERT MALE,PVC plastic pipe adapter
Copper 3 x 2 Reducing Coupling,Copper pipe reducing coupling
